show_id;type;title;director;cast;country;date_added;release_year;rating;duration;listed_in;description;note
498716;movie;ferris bueller's day off;john hughes;matthew broderick, alan ruck, mia sara, jeffrey jones, jennifer grey, cindy pickett, lyman ward, edie mcclurg, charlie sheen, kristy swanson, ben stein, del close;united states;january 3, 2020;1986;pg-13;103 min;classic movies, comedies, cult movies;ferris convinces his entire school he's at death's door, then hits the streets of chicago with his girlfriend and best friend for a day of fun.;7,8 based on 308 588 user ratings
80220085;movie;occupation;luke sparke;daniel ewing, temuera morrison, stephanie jacobsen, rhiannon fish, zachary garred, izzy stephens, charles terrier, charles mesure, felix williamson, jacqueline mckenzie, aaron jeffery, bruce spence;australia;january 3, 2019;2018;r;120 min;action & adventure, sci-fi & fantasy;when aliens take over their small australian town, a modest group of survivors must unite to fend off their otherworldly intruders.;5,0 based on 11 030 user ratings
80244855;movie;pope francis: a man of his word;wim wenders;pope francis;switzerland, vatican city, italy, germany, france;january 3, 2019;2018;pg;96 min;documentaries, faith & spirituality, international movies;documentary filmmaker wim wenders travels the world with pope francis, recording the controversial pontiff's humanist views in a sharply divided age.;6,1 based on 1 793 user ratings
80134966;movie;jen kirkman: just keep livinâ€™?;lance bangs;jen kirkman;united states;january 3, 2017;2017;tv-ma;69 min;stand-up comedy;incisive comic jen kirkman gets real about women's bodies, the value of alone time and an italian private tour guide who may have been a ghost.;6,7 based on 1 111 user ratings
80220813;movie;ant-man and the wasp;peyton reed;paul rudd, evangeline lilly, michael douglas, michael peã±a, hannah john-kamen, laurence fishburne, michelle pfeiffer, walton goggins, t.i., judy greer, bobby cannavale, david dastmalchian, abby ryder fortson, randall park;united states;january 29, 2019;2018;pg-13;118 min;action & adventure, comedies, sci-fi & fantasy;problems big and small pop up when scott lang, aka ant-man, gets drafted by dr. hank pym and hope van dyne, aka the wasp, for an urgent rescue mission.;7,1 based on 288 729 user ratings
81048561;movie;bhasmasur;nishil sheth;imran rasheed, mittal chouhan, trimala adhikari, bhushan vikas, ravi goswami, raghav dutt, kumkum chouhan, rohan mobarsa;india;january 29, 2019;2017;tv-14;74 min;dramas, independent movies, international movies;in this heart-wrenching coming-of-age story, a young boy embarks on an arduous trek with his debt-ridden father to sell their beloved family donkey.;7,0 based on 105 user ratings
80237903;movie;"gabriel ""fluffy"" iglesias: one show fits all";manny rodriguez;gabriel iglesias;nan;january 29, 2019;2019;tv-14;91 min;stand-up comedy;"gabriel ""fluffy"" iglesias discusses his teenage son and encounters with snoop dogg, chris rock and vicente fernã¡ndez in this stand-up special for 2019.";7,2 based on 1 290 user ratings
81026705;movie;high society;byun hyuk;park hae-il, su ae, yoon je-moon, ra mi-ran, lee jin-wook, kim gyu-sun, han ju-yeong, kim hae-gon, nam moon-cheol, jang so-yeon;south korea;january 29, 2019;2018;tv-ma;137 min;dramas, international movies;a deputy curator of a chaebol-funded art gallery and her husband, a politically ambitious economics professor, will do anything to join the ã¼ber-elite.;7,0 based on 13 305 user ratings
80244929;tv show;inside the mossad;nan;nan;israel;january 29, 2019;2017;tv-14;1 season;docuseries, international tv shows;in this documentary, dozens of former agents from the mossad, israel's foreign intelligence agency, reveal their top-secret operations.;7,6 based on 747 user ratings
80122209;movie;up among  the stars;zoe berriatãºa;luis callejo, jorge andreu, macarena gã³mez, magã¼i mira, ã�lvaro roig, marã­a morales, josã© luis garcã­a pã©rez, kiti mã¡nver, ingrid garcã­a jonsson, liz lobato;spain;january 29, 2019;2018;tv-ma;86 min;dramas, international movies, sci-fi & fantasy;a grieving filmmaker struggling to keep custody of his young son after his wife's death uses magical, imaginary stories to maintain their bond.;6,1 based on 355 user ratings
80109193;movie;holy camp!;javier ambrossi, javier calvo;macarena garcã­a, anna castillo, belã©n cuesta, gracia olayo, richard collins-moore, llum barrera, secun de la rosa, marã­a isabel dã­az, vã­ctor elã­as, henry mã©ndez, esti quesada;spain;january 29, 2018;2017;tv-14;108 min;comedies, dramas, faith & spirituality;in this musical comedy, two rebellious teen girls who love electronic music have a life-changing brush with the divine at a camp run by nuns.;6,3 based on 3 414 user ratings
80208468;movie;hostages;federico lemos;nan;nan;january 29, 2018;2017;tv-ma;91 min;documentaries, international movies;witnesses recount the shocking 1996 hostage crisis in lima, peru, where rebels held scores of high-level figures captive at an ambassador's residence.;6,8 based on 2 485 user ratings
80214582;movie;patient seventeen;jeremy kenyon lockyer corbell;nan;united states;january 29, 2018;2017;tv-14;68 min;documentaries;a surgeon claims to remove high tech microchips that aliens used to manipulate the human race. this documentary seeks to separate fact from fiction.;3,5 based on 603 user ratings
80168198;movie;the force;peter nicks;nan;united states;january 29, 2018;2017;tv-ma;92 min;documentaries;this documentary follows the police of oakland, california, as they reform and face the challenges of corruption, commitment and cataclysmic change.;
80117940;movie;journey to greenland;sã©bastien betbeder;thomas blanchard, thomas scimeca, franã§ois chattot, ole eliassen, adam eskilden;france;january 29, 2017;2016;tv-14;99 min;comedies, international movies;when they flee paris for a remote village in greenland, two part-time actors become immersed in the archaic inuit culture and forge unexpected bonds.;6,3 based on 968 user ratings
80998786;movie;alt-right: age of rage;adam bhala lough;daryle lamont jenkins, richard spencer;nan;january 28, 2019;2018;tv-ma;106 min;documentaries;this documentary follows a white power leader and an antifa activist leading up to the charlottesville riots in the first year of trump's presidency.;5,8 based on 635 user ratings
81047898;movie;habibie & ainun;faozan rizal;reza rahadian, bunga citra lestari, tio pakusadewo, ratna riantiarno, mike lucock, vitta mariana barrazza, christoffer nelwan;indonesia, singapore;january 28, 2019;2012;tv-14;125 min;dramas, international movies, romantic movies;"this companion to 2016's ""rudy habibie"" traces the relationship between indonesiaâ€™s third president and his wife behind the scenes of their public lives.";7,6 based on 1 766 user ratings
81057249;movie;nathicharami;mansore;sruthi hariharan, sanchari vijay, sharanya, balaji manohar, greeshma sridhar, harshil koushik, shaanthala, gopalkrishna deshpande;india;january 28, 2019;2018;tv-14;114 min;dramas, independent movies, international movies;reeling from the loss of her husband, a widow struggles to fulfill her physical and emotional desires despite social taboos around female sexuality.;7,0 based on 161 user ratings
81047900;movie;rudy habibie;hanung bramantyo;reza rahadian, chelsea islan, dian nitami, indah permatasari, ernest prakasa, boris bokir, rey bong, cornelio sunny, pandji pragiwaksono, bastian bintang simbolon;indonesia;january 28, 2019;2016;tv-14;143 min;dramas, international movies;a biopic that explores the hardships and triumphs of the early life of b. j. habibie, a transformative president of indonesia.;7,5 based on 630 user ratings
81047899;movie;surga yang tak dirindukan;kuntz agus;fedi nuril, laudya cynthia bella, raline shah, sandrinna michelle, kemal pahlevi, tanta ginting, zaskia adya mecca, landung simatupang, ray sitoresmi, vitta mariana barrazza;indonesia;january 28, 2019;2015;tv-14;121 min;dramas, faith & spirituality, international movies;after saving an unwed expectant mother who's injured in a car accident, a happily married man takes her as his second wife â€“ without telling his first.;7,9 based on 2 122 user ratings
81047901;movie;surga yang tak dirindukan 2;hanung bramantyo, meisa felaroze;fedi nuril, raline shah, laudya cynthia bella, reza rahadian, nora danish;indonesia;january 28, 2019;2017;tv-14;119 min;dramas, faith & spirituality, international movies;in this sequel to the award-winning 2015 film, pras, arini and meirose face new challenges that could change the dynamic of their unique love triangle.;7,2 based on 349 user ratings
